seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr4,97750937,97752472,1536,*,9.44,9.62,9.23,0.39,0.000431,0.011
chr14,30825305,30827021,1717,*,9.02,9.23,8.78,0.45,0.000431,0.011
chr17,23192408,23194117,1710,*,9.07,9.27,8.84,0.43,0.000432,0.011
chr8,4677205,4679181,1977,*,10.73,10.87,10.57,0.3,0.000432,0.011
chr6,134365972,134368096,2125,*,9.24,9.44,9,0.44,0.000433,0.011
chr1,86303013,86304195,1183,*,8.08,8.36,7.73,0.64,0.000435,0.0111
chr3,79627565,79629691,2127,*,10.04,10.2,9.87,0.33,0.000435,0.0111
chr10,12922270,12923707,1438,*,9.23,9.42,9.01,0.42,0.000435,0.0111
chr5,80818928,80819718,791,*,7.38,7.73,6.91,0.82,0.000437,0.0111
chr13,73466755,73468304,1550,*,9.15,9.35,8.92,0.42,0.000437,0.0111
chr2,148044019,148045398,1380,*,7.84,8.14,7.45,0.69,0.000438,0.0111
chr19,54046616,54048075,1460,*,7.7,8.02,7.28,0.74,0.000438,0.0111
chr5,81019489,81022183,2695,*,9.39,9.59,9.16,0.43,0.000438,0.0111
chr8,111144923,111146311,1389,*,8.89,9.11,8.64,0.47,0.000439,0.0111
chr8,57651411,57653993,2583,*,10.36,10.5,10.19,0.31,0.00044,0.0111
chr13,56615236,56616852,1617,*,8.37,8.63,8.05,0.58,0.00044,0.0111
chr19,10182216,10183819,1604,*,9.29,9.48,9.08,0.4,0.000441,0.0111
chr18,64488100,64489591,1492,*,9.14,9.34,8.9,0.44,0.000441,0.0111
chr13,74208150,74209496,1347,*,8.79,9.01,8.54,0.47,0.000442,0.0111
chr4,148087233,148088351,1119,*,8.39,8.64,8.09,0.55,0.000442,0.0111
chr13,6547250,6549004,1755,*,9.67,9.84,9.47,0.37,0.000444,0.0111
chr18,46740973,46742540,1568,*,9.63,9.8,9.43,0.36,0.000445,0.0111
chr10,12015018,12016692,1675,*,7.53,7.92,6.99,0.93,0.000445,0.0111
chr7,29518111,29519508,1398,*,9.27,9.46,9.04,0.42,0.000445,0.0111
chr3,8666657,8668076,1420,*,9.54,9.72,9.34,0.38,0.000445,0.0111
chr1,58391848,58394065,2218,*,9.82,9.99,9.63,0.37,0.000449,0.0112
chr3,123440454,123441544,1091,*,7.58,7.92,7.13,0.79,0.000449,0.0112
chr3,10011927,10013521,1595,*,9.19,9.38,8.97,0.42,0.00045,0.0112
chr12,21372866,21374308,1443,*,9.32,9.51,9.09,0.41,0.000451,0.0113
chr5,67306467,67307751,1285,*,9.09,9.29,8.85,0.44,0.000451,0.0113
chr6,3343607,3346469,2863,*,8.62,8.85,8.34,0.51,0.000456,0.0114
chr12,40036719,40038621,1903,*,10.41,10.56,10.24,0.32,0.000457,0.0114
chr18,37814158,37816231,2074,*,8.73,8.96,8.46,0.5,0.00046,0.0114
chr10,93122663,93124914,2252,*,9.53,9.7,9.33,0.38,0.000461,0.0114
chr8,61223485,61225091,1607,*,9.59,9.76,9.4,0.36,0.000464,0.0115
chr19,53193715,53195013,1299,*,8.02,8.32,7.62,0.7,0.000466,0.0116
chr10,5311953,5313173,1221,*,7.64,7.96,7.22,0.73,0.000469,0.0116
chr1,91954697,91955401,705,*,7.38,7.73,6.93,0.8,0.000473,0.0117
chr2,180118451,180120026,1576,*,9.8,9.97,9.61,0.36,0.000473,0.0117
chr19,23140472,23143061,2590,*,10.28,10.42,10.12,0.3,0.000474,0.0117
chr8,40584642,40585210,569,*,7.66,8.01,7.19,0.81,0.000475,0.0117
chr8,108748720,108749500,781,*,8.36,8.62,8.05,0.57,0.000476,0.0117
chr6,108827771,108829344,1574,*,9.75,9.91,9.57,0.34,0.000478,0.0118
chrX,144317575,144319151,1577,*,8.97,9.19,8.72,0.46,0.00048,0.0118
chr18,9449129,9451022,1894,*,9.96,10.12,9.79,0.33,0.000481,0.0118
chr2,48948656,48950267,1612,*,9.86,10.02,9.69,0.33,0.000482,0.0118
chr9,4375701,4377139,1439,*,9.54,9.71,9.34,0.38,0.000483,0.0119
chr4,53011620,53012858,1239,*,9.54,9.72,9.34,0.38,0.000484,0.0119
chr1,79671207,79672473,1267,*,9.16,9.36,8.94,0.42,0.000485,0.0119
chr5,73629514,73630958,1445,*,8.77,8.99,8.51,0.48,0.000485,0.0119
chr1,165762837,165764642,1806,*,9.45,9.63,9.25,0.39,0.000486,0.0119
chr15,31600855,31602873,2019,*,9.68,9.84,9.49,0.35,0.000488,0.0119
chr3,58690582,58692776,2195,*,10.23,10.39,10.05,0.34,0.000488,0.0119
chr15,91191224,91192461,1238,*,8.53,8.77,8.25,0.53,0.000489,0.0119
chr16,90220275,90221995,1721,*,9.58,9.75,9.38,0.36,0.000489,0.0119
chr6,4505111,4506732,1622,*,8.64,8.87,8.36,0.51,0.000489,0.0119
chr9,35199154,35200579,1426,*,8.8,9.02,8.55,0.47,0.00049,0.0119
chr6,18029917,18032373,2457,*,8.95,9.2,8.65,0.55,0.00049,0.0119
chr12,91668099,91669116,1018,*,8.46,8.7,8.17,0.53,0.00049,0.0119
chr10,75003605,75004825,1221,*,8.58,8.83,8.28,0.55,0.000491,0.0119
chr1,16103959,16106627,2669,*,10.36,10.51,10.19,0.32,0.000491,0.0119
chr11,64978490,64979769,1280,*,9.02,9.22,8.78,0.44,0.000491,0.0119
chr13,5864169,5864957,789,*,9,9.21,8.77,0.44,0.000492,0.0119
chr13,75942837,75944309,1473,*,9.3,9.49,9.07,0.42,0.000492,0.0119
chr2,65341860,65342924,1065,*,8.3,8.56,7.97,0.59,0.000493,0.0119
chr9,15044256,15046029,1774,*,9.41,9.6,9.19,0.4,0.000493,0.0119
chr19,40611631,40612706,1076,*,8.95,9.16,8.72,0.44,0.000494,0.0119
chr8,91312863,91314041,1179,*,9.38,9.56,9.18,0.38,0.000495,0.0119
chr5,98030083,98031674,1592,*,9.03,9.23,8.8,0.43,0.000495,0.0119
chr14,36967894,36969401,1508,*,9.4,9.58,9.18,0.4,0.000496,0.0119
chrX,19237006,19238415,1410,*,9.02,9.23,8.77,0.46,0.000496,0.0119
chr7,41632303,41634012,1710,*,10.04,10.2,9.87,0.33,0.000497,0.0119
chr6,131387062,131388899,1838,*,9.9,10.06,9.71,0.35,0.000497,0.0119
chr4,122884978,122887168,2191,*,10.11,10.26,9.93,0.33,0.000498,0.012
chr11,90637521,90638979,1459,*,9.22,9.41,8.99,0.41,0.000499,0.012
chr7,41598818,41600397,1580,*,8.95,9.15,8.71,0.44,0.000499,0.012
chr1,119504008,119505428,1421,*,9.39,9.57,9.18,0.39,5e-04,0.012
chr14,19970340,19971382,1043,*,8.37,8.63,8.05,0.58,0.000502,0.012
chr13,58066619,58068744,2126,*,9.89,10.04,9.72,0.33,0.000502,0.012
chr7,43796645,43798894,2250,*,8.66,8.89,8.38,0.51,0.000505,0.012
chr12,91588110,91590932,2823,*,10.68,10.81,10.53,0.28,0.000506,0.0121
chr11,31725454,31726853,1400,*,9.13,9.32,8.9,0.42,0.000506,0.0121
chr14,19750448,19752111,1664,*,8.76,8.98,8.51,0.48,0.000508,0.0121
chr8,112010707,112012546,1840,*,9.07,9.26,8.84,0.42,0.000509,0.0121
chrX,136707788,136709055,1268,*,8.44,8.68,8.14,0.54,0.000509,0.0121
chr10,36973840,36975532,1693,*,9.83,10,9.65,0.35,0.00051,0.0121
chr4,124849976,124851621,1646,*,9.67,9.84,9.47,0.37,0.000511,0.0121
chr17,56302963,56304620,1658,*,9.38,9.56,9.18,0.39,0.000513,0.0122
chr12,17347688,17349166,1479,*,8.85,9.06,8.59,0.47,0.000513,0.0122
chr8,24725401,24726178,778,*,8.04,8.32,7.69,0.62,0.000514,0.0122
chr14,18270245,18271977,1733,*,9.6,9.77,9.4,0.36,0.000514,0.0122
chr6,24663470,24665746,2277,*,10.14,10.29,9.97,0.32,0.000516,0.0122
chr16,4938663,4939851,1189,*,8.77,8.99,8.52,0.47,0.000516,0.0122
chr5,57713800,57716196,2397,*,10.17,10.34,9.98,0.37,0.000517,0.0122
chr5,100525767,100526942,1176,*,8.25,8.52,7.91,0.61,0.000518,0.0122
chr15,46125235,46126759,1525,*,8.63,8.86,8.36,0.5,0.000519,0.0122
chr13,74493536,74494898,1363,*,8.6,8.83,8.32,0.51,0.000519,0.0122
chr2,10314404,10315462,1059,*,8.43,8.69,8.1,0.59,0.00052,0.0122
chr4,96590714,96592144,1431,*,9.33,9.52,9.11,0.41,0.00052,0.0122
chr19,22134543,22135492,950,*,7.92,8.23,7.52,0.71,0.000521,0.0122
chr9,31279763,31281858,2096,*,10.23,10.38,10.06,0.31,0.000522,0.0122
chr1,192136131,192138836,2706,*,10.32,10.46,10.16,0.3,0.000523,0.0122
chr1,151343268,151345807,2540,*,10.4,10.53,10.25,0.29,0.000524,0.0123
chr19,53905970,53906623,654,*,7.45,7.81,6.99,0.82,0.000524,0.0123
chr18,24528872,24530775,1904,*,9.57,9.74,9.38,0.36,0.000524,0.0123
chr12,117735896,117736691,796,*,7.25,7.61,6.78,0.83,0.000525,0.0123
chr12,8297981,8299243,1263,*,8.25,8.51,7.94,0.57,0.000525,0.0123
chr12,85176878,85178308,1431,*,8.1,8.37,7.76,0.61,0.000527,0.0123
chr8,94011209,94013151,1943,*,9.61,9.78,9.4,0.38,0.000529,0.0123
chr13,49340796,49342028,1233,*,9.39,9.57,9.19,0.39,0.000529,0.0123
chr14,49065463,49067100,1638,*,9.68,9.85,9.49,0.36,0.00053,0.0123
chr6,124375266,124376586,1321,*,9.29,9.49,9.05,0.43,0.00053,0.0123
chr13,55412853,55413878,1026,*,8.6,8.83,8.32,0.51,0.00053,0.0123
chrX,159254510,159256549,2040,*,9.87,10.02,9.69,0.33,0.000532,0.0123
chr9,8543829,8545969,2141,*,10.01,10.16,9.84,0.31,0.000535,0.0124
chr12,59218701,59220417,1717,*,10.02,10.17,9.84,0.33,0.000535,0.0124
chr16,55820080,55822806,2727,*,10.44,10.57,10.28,0.29,0.000536,0.0124
chr14,14702271,14703921,1651,*,9.86,10.01,9.69,0.33,0.000536,0.0124
chr13,13589792,13591141,1350,*,9.57,9.74,9.38,0.36,0.000538,0.0124
chr19,15984242,15985425,1184,*,8.83,9.04,8.58,0.46,0.000539,0.0124
chr8,46919905,46921930,2026,*,8.35,8.62,8.03,0.59,0.000542,0.0125
chr3,90264645,90266835,2191,*,10.05,10.2,9.89,0.32,0.000542,0.0125
chr12,44268426,44269895,1470,*,9.99,10.15,9.82,0.33,0.000545,0.0126
chr17,56030421,56031521,1101,*,8.88,9.09,8.63,0.46,0.000546,0.0126
chr6,131352970,131354714,1745,*,9.33,9.51,9.12,0.39,0.000547,0.0126
chr5,109866028,109867679,1652,*,9.2,9.39,8.98,0.41,0.000548,0.0126
chr4,152027037,152028114,1078,*,9.06,9.26,8.84,0.42,0.000548,0.0126
chr12,34811296,34812631,1336,*,8.16,8.44,7.83,0.61,0.000548,0.0126
chr2,163054139,163056005,1867,*,9.17,9.36,8.94,0.42,0.000548,0.0126
chr2,172344879,172346675,1797,*,9.55,9.72,9.36,0.37,0.000549,0.0126
chr3,157946568,157948278,1711,*,9.73,9.9,9.55,0.35,0.00055,0.0126
chr12,99239576,99240633,1058,*,8.13,8.41,7.79,0.62,0.00055,0.0126
chr7,117380370,117382072,1703,*,9.48,9.67,9.27,0.4,0.00055,0.0126
chr8,3352959,3355109,2151,*,9.12,9.32,8.89,0.44,0.000551,0.0126
chr8,72491698,72493404,1707,*,9.75,9.92,9.57,0.35,0.000552,0.0126
chrX,153359224,153360605,1382,*,8.69,8.91,8.43,0.48,0.000552,0.0126
chr17,94834126,94835326,1201,*,8.95,9.16,8.69,0.47,0.000553,0.0126
chr12,8921219,8923408,2190,*,10.06,10.22,9.88,0.34,0.000553,0.0126
chr18,76240755,76242606,1852,*,10.11,10.27,9.94,0.33,0.000557,0.0126
chr5,127537187,127538058,872,*,7.42,6.16,8.09,-1.93,0.000557,0.0127
chr6,117431067,117432006,940,*,8,8.27,7.65,0.62,0.000559,0.0127
chr1,191574537,191576409,1873,*,9.8,9.96,9.62,0.34,0.000561,0.0127
chr16,55973272,55975661,2390,*,10.53,10.67,10.39,0.28,0.000562,0.0127
chr18,65801973,65802839,867,*,8.79,9.01,8.54,0.47,0.000563,0.0127
chr7,118993530,118995598,2069,*,8.95,9.16,8.71,0.45,0.000564,0.0127
chr4,63494388,63496533,2146,*,9.81,9.99,9.6,0.39,0.000564,0.0127
chr8,75212453,75214226,1774,*,9.19,9.38,8.97,0.41,0.000565,0.0127
chr19,10605013,10606238,1226,*,9.08,9.27,8.85,0.42,0.000565,0.0127
chr11,11729891,11730704,814,*,7.6,7.94,7.16,0.78,0.000566,0.0127
chr18,3506954,3508936,1983,*,9.63,9.8,9.44,0.36,0.000566,0.0127
chr6,66929143,66930311,1169,*,8.71,8.94,8.44,0.5,0.000566,0.0127
chr4,149663791,149664545,755,*,7.75,8.07,7.34,0.73,0.000568,0.0128
chr13,51099751,51102031,2281,*,9.76,9.93,9.56,0.37,0.000568,0.0128
chr17,72917112,72919582,2471,*,10.25,10.4,10.08,0.32,0.000568,0.0128
chr10,53378432,53380374,1943,*,9.7,9.87,9.52,0.35,0.000569,0.0128
chr7,35333192,35335455,2264,*,9.95,10.11,9.76,0.34,0.000571,0.0128
chr3,136669201,136672043,2843,*,10.57,10.71,10.42,0.29,0.000572,0.0128
chr13,90135830,90136881,1052,*,8.04,8.32,7.68,0.64,0.000573,0.0128
chr7,42691958,42693664,1707,*,9.05,9.25,8.82,0.42,0.000574,0.0128
chr7,90441718,90444267,2550,*,10.13,10.28,9.96,0.31,0.000575,0.0128
chr5,8674933,8676256,1324,*,8.59,8.82,8.31,0.5,0.000577,0.0129
chr11,62878733,62880147,1415,*,9.25,9.44,9.03,0.41,0.000577,0.0129
chr13,23750953,23752841,1889,*,9.05,9.3,8.76,0.54,0.000578,0.0129
chr12,112976128,112977194,1067,*,8.88,9.1,8.63,0.47,0.000579,0.0129
chr15,89591172,89592334,1163,*,8.57,8.8,8.29,0.51,0.000579,0.0129
chr3,14533412,14534835,1424,*,9.55,9.72,9.35,0.37,0.00058,0.0129
chr8,117801451,117802941,1491,*,9.41,9.59,9.21,0.38,0.00058,0.0129
chr13,14062674,14065248,2575,*,10.57,10.7,10.42,0.28,0.000581,0.0129
chr5,109922730,109924621,1892,*,8.91,9.12,8.66,0.46,0.000586,0.013
chr11,9048347,9049388,1042,*,8.88,9.1,8.63,0.47,0.000586,0.013
chr16,13818428,13820503,2076,*,9.9,10.06,9.72,0.34,0.000587,0.013
chr3,41081763,41084044,2282,*,10.09,10.25,9.92,0.33,0.000588,0.013
chr10,4333320,4334945,1626,*,8.41,8.65,8.11,0.54,0.000588,0.013
chr8,33384260,33386787,2528,*,9.89,10.05,9.72,0.33,0.000589,0.013
chr3,133338921,133339889,969,*,8.94,9.15,8.7,0.45,0.000589,0.013
chr7,31160642,31161744,1103,*,8.56,8.81,8.27,0.53,0.00059,0.013
chr16,86820547,86822507,1961,*,8.63,8.89,8.31,0.58,0.00059,0.013
chr8,54076702,54078402,1701,*,9.84,10,9.67,0.33,0.00059,0.013
chr16,90072448,90074055,1608,*,8.2,8.46,7.89,0.57,0.000591,0.013
chr4,10389421,10390301,881,*,7.42,7.76,6.98,0.77,0.000592,0.013
chr13,3609828,3611648,1821,*,9.85,10.02,9.67,0.35,0.000593,0.013
chr11,26804680,26805527,848,*,7.77,8.08,7.39,0.69,0.000593,0.013
chr6,38432933,38435029,2097,*,9.98,10.14,9.8,0.34,0.000593,0.013
chr2,144555258,144556680,1423,*,9.29,9.47,9.07,0.4,0.000596,0.013
chr8,128684849,128686769,1921,*,9.77,9.93,9.58,0.36,0.000596,0.013
chr10,77032533,77034116,1584,*,9.24,9.42,9.03,0.4,0.000596,0.013
chrX,139684423,139685879,1457,*,9.08,9.28,8.85,0.43,0.000597,0.013
chr4,40142527,40143987,1461,*,9.98,10.13,9.8,0.33,0.000598,0.013
chr2,68825002,68825889,888,*,7.88,8.18,7.49,0.7,0.000598,0.013
chr8,3492708,3494059,1352,*,8.31,8.56,8.01,0.55,0.000598,0.013
chr1,9797230,9799602,2373,*,9.55,9.72,9.36,0.36,0.000599,0.0131
chr14,17171952,17173552,1601,*,9.05,9.26,8.8,0.46,6e-04,0.0131
chr19,17393245,17394859,1615,*,9.29,9.48,9.08,0.4,0.000601,0.0131
chr17,69264775,69266510,1736,*,8.99,9.21,8.72,0.5,0.000601,0.0131
chr2,93187165,93189051,1887,*,9.29,9.49,9.07,0.41,0.000601,0.0131
chr10,81580238,81581340,1103,*,7.91,8.2,7.53,0.67,0.000602,0.0131
chr5,86065090,86067059,1970,*,10.01,10.16,9.83,0.34,0.000604,0.0131
chr16,87431869,87432966,1098,*,9.19,9.38,8.97,0.41,0.000605,0.0131
chr14,101639717,101641088,1372,*,8.96,9.16,8.73,0.44,0.000606,0.0131
chr10,75060186,75062630,2445,*,9.36,9.54,9.15,0.39,0.00061,0.0132
chr13,119597633,119599520,1888,*,8.03,8.31,7.68,0.62,0.000611,0.0132
chr10,127471013,127472274,1262,*,7.99,8.28,7.62,0.67,0.000611,0.0132
chrX,142389506,142391412,1907,*,9.51,9.68,9.31,0.37,0.000611,0.0132
chr10,78297572,78298900,1329,*,9.64,9.81,9.43,0.38,0.000612,0.0132
chr8,39005470,39006782,1313,*,9.33,9.52,9.12,0.4,0.000612,0.0132
chr2,37430431,37431795,1365,*,8.88,9.09,8.63,0.45,0.000613,0.0132
chr10,5804772,5806696,1925,*,9.89,10.04,9.71,0.33,0.000613,0.0132
chr14,21706694,21707661,968,*,8.54,8.77,8.27,0.51,0.000613,0.0132
chr4,98922523,98924632,2110,*,10.18,10.33,10.01,0.32,0.000616,0.0132
chr15,88750893,88752707,1815,*,9.79,9.95,9.61,0.35,0.000617,0.0133
chrX,95967578,95969031,1454,*,9.57,9.75,9.37,0.38,0.000618,0.0133
chr10,82629261,82630649,1389,*,9.35,9.53,9.15,0.38,0.000622,0.0133
chr19,38223419,38224844,1426,*,8.58,8.81,8.31,0.5,0.000623,0.0133
chr7,18909864,18911147,1284,*,9.35,9.53,9.14,0.39,0.000623,0.0133
chr17,12307386,12308208,823,*,8.32,8.58,8,0.58,0.000624,0.0133
chr11,73023960,73025194,1235,*,8.68,8.91,8.4,0.51,0.000625,0.0134
chr8,23207603,23209100,1498,*,9.64,9.81,9.45,0.35,0.000626,0.0134
chr2,13270708,13272020,1313,*,9.36,9.55,9.15,0.39,0.000626,0.0134
chr19,40587809,40589649,1841,*,9.22,9.41,9,0.4,0.000627,0.0134
chr16,91010037,91012352,2316,*,9.84,9.99,9.66,0.33,0.000628,0.0134
chr6,142507004,142508391,1388,*,9.15,9.34,8.92,0.42,0.000629,0.0134
chr13,28838354,28839944,1591,*,8.71,8.93,8.45,0.49,0.000629,0.0134
chr19,24899351,24900806,1456,*,8.25,8.51,7.94,0.56,0.000629,0.0134
chr5,110057278,110058733,1456,*,8.84,9.05,8.59,0.46,0.000632,0.0134
chr19,8984221,8984900,680,*,8.26,8.52,7.95,0.58,0.000633,0.0134
chr5,125339119,125341448,2330,*,9.24,9.42,9.03,0.39,0.000634,0.0134
chr10,115383743,115386005,2263,*,10.39,10.55,10.23,0.32,0.000634,0.0134
chr2,160872234,160873860,1627,*,9.21,9.4,9,0.4,0.000635,0.0134
chr3,30968222,30969880,1659,*,9.32,9.5,9.11,0.4,0.000635,0.0134
chr11,3265646,3267355,1710,*,9.36,9.54,9.16,0.38,0.000636,0.0134
chr13,15759019,15760348,1330,*,8.47,8.72,8.16,0.56,0.000637,0.0135
chr2,150310844,150312214,1371,*,8.95,9.16,8.71,0.45,0.000637,0.0135
chr8,4324443,4325766,1324,*,9.43,9.61,9.23,0.39,0.000638,0.0135
chr1,144003555,144005121,1567,*,9.58,9.75,9.4,0.35,0.000642,0.0135
chr16,87697510,87698441,932,*,8.14,8.45,7.75,0.7,0.000642,0.0135
chr18,70529236,70531511,2276,*,9.68,9.85,9.5,0.35,0.000642,0.0135
chr3,131208080,131209179,1100,*,8.01,8.29,7.67,0.62,0.000644,0.0135
chr13,58401220,58403446,2227,*,10.27,10.42,10.1,0.31,0.000644,0.0135
chr11,57644099,57645725,1627,*,9.09,9.28,8.87,0.41,0.000649,0.0136
chr17,15829470,15831476,2007,*,9.56,9.73,9.37,0.36,0.00065,0.0136
chr18,84684418,84686101,1684,*,9.53,9.71,9.34,0.37,0.000652,0.0137
chr4,123916838,123918111,1274,*,9.33,9.51,9.12,0.39,0.000652,0.0137
chr11,18969325,18970743,1419,*,8.87,9.08,8.63,0.45,0.000654,0.0137
chr3,108910508,108912273,1766,*,9.65,9.82,9.46,0.36,0.000655,0.0137
chr14,7889100,7890457,1358,*,8.79,9.01,8.55,0.46,0.000656,0.0137
chr2,68470763,68472732,1970,*,9.69,9.86,9.49,0.36,0.000658,0.0137
chr2,181495813,181497893,2081,*,9.78,9.95,9.6,0.35,0.000658,0.0137
chr10,53629106,53630603,1498,*,9.86,10.02,9.68,0.34,0.000659,0.0137
chr8,47851555,47852666,1112,*,8.31,8.57,7.99,0.58,0.000659,0.0137
chr18,42261398,42262667,1270,*,9.32,9.5,9.11,0.39,0.000659,0.0137
chr6,47594022,47595772,1751,*,9.83,9.99,9.66,0.33,0.000659,0.0137
chr12,113185348,113186331,984,*,7.35,7.7,6.89,0.81,0.000661,0.0138
chr16,11005984,11006659,676,*,7.92,8.21,7.56,0.66,0.000664,0.0138
chr3,79176945,79178544,1600,*,8.8,9.01,8.56,0.46,0.000666,0.0138
chr2,45099812,45101279,1468,*,8.33,8.59,8.02,0.58,0.000666,0.0138
chr11,11684736,11686719,1984,*,9.86,10.02,9.67,0.35,0.000668,0.0139
chr5,21395039,21395949,911,*,7.85,8.14,7.49,0.65,0.00067,0.0139
chr6,47174447,47176243,1797,*,8.39,8.63,8.1,0.53,0.000671,0.0139
chr9,8133253,8135013,1761,*,9.24,9.42,9.03,0.4,0.000671,0.0139
chr7,56049559,56050946,1388,*,9.49,9.67,9.3,0.37,0.000671,0.0139
chr7,58657822,58659407,1586,*,9.34,9.52,9.13,0.39,0.000672,0.0139
chr11,24061698,24062230,533,*,7.3,7.66,6.84,0.82,0.000672,0.0139
chr4,152200932,152202089,1158,*,8.09,8.35,7.76,0.59,0.000672,0.0139
chrX,166376428,166377242,815,*,7.45,7.79,7,0.79,0.000673,0.0139
chr9,51076329,51077599,1271,*,8.68,8.9,8.42,0.48,0.000673,0.0139
chr7,120842524,120844122,1599,*,9.62,9.8,9.43,0.37,0.000674,0.0139
chr8,47713123,47714895,1773,*,10.22,10.37,10.06,0.31,0.000675,0.0139
chr13,74806979,74809066,2088,*,9.58,9.74,9.39,0.35,0.000679,0.0139
chr8,90876109,90877751,1643,*,9.67,9.83,9.49,0.34,0.00068,0.0139
chr5,88720373,88722078,1706,*,9.66,9.83,9.46,0.37,0.000681,0.0139
chr6,21213753,21215940,2188,*,9.02,9.22,8.79,0.43,0.000681,0.0139
chr13,38009751,38011063,1313,*,8.91,9.13,8.65,0.48,0.000681,0.0139
chr4,40970554,40972032,1479,*,9.44,9.63,9.23,0.4,0.000682,0.0139
chr5,86172022,86173486,1465,*,9.73,9.89,9.54,0.34,0.000682,0.0139
chr4,94978481,94979769,1289,*,9.1,9.29,8.88,0.41,0.000683,0.0139
chr5,110285287,110286947,1661,*,9.28,9.46,9.08,0.38,0.000683,0.0139
chr2,22621852,22622866,1015,*,8.31,8.57,8,0.57,0.000685,0.014
chr11,106159148,106161251,2104,*,9.62,9.79,9.42,0.37,0.000685,0.014
chr3,101603674,101605220,1547,*,9.82,9.98,9.63,0.35,0.000686,0.014
chr13,12256985,12258647,1663,*,9.53,9.7,9.33,0.36,0.000689,0.014
chr18,21001086,21002779,1694,*,10.13,10.27,9.96,0.31,0.000692,0.0141
chrX,135885181,135886586,1406,*,8.99,9.19,8.75,0.44,0.000692,0.0141
chr2,37422180,37423415,1236,*,9.31,9.49,9.1,0.38,0.000693,0.0141
chr2,178505671,178506719,1049,*,8.62,8.86,8.35,0.51,0.000694,0.0141
chr13,90088734,90090270,1537,*,9.43,9.61,9.23,0.38,0.000695,0.0141
chr2,158666264,158668437,2174,*,9.85,10.01,9.68,0.34,0.000696,0.0141
chr18,38992336,38994595,2260,*,9.92,10.08,9.74,0.34,0.000696,0.0141
chr10,52381176,52382983,1808,*,9.78,9.94,9.6,0.34,0.000697,0.0141
chr3,92080353,92082878,2526,*,10.13,10.28,9.97,0.31,0.000698,0.0141
chr19,41980512,41982724,2213,*,9.98,10.13,9.8,0.33,0.000698,0.0141
chr18,36286160,36288071,1912,*,9.63,9.8,9.45,0.35,0.000698,0.0141
chr7,43532851,43533675,825,*,7.81,8.16,7.35,0.81,0.000698,0.0141
chr3,41564575,41566451,1877,*,9.96,10.11,9.78,0.33,0.000701,0.0141
chr12,40222126,40223882,1757,*,10.39,10.53,10.23,0.3,0.000701,0.0141
chr19,53037768,53039292,1525,*,9.44,9.61,9.24,0.36,0.000704,0.0142
chr8,64946433,64947942,1510,*,9.44,9.61,9.24,0.37,0.000704,0.0142
chr17,21961740,21963744,2005,*,8.89,9.1,8.64,0.45,0.000704,0.0142
chr7,107593811,107595836,2026,*,9.72,9.89,9.53,0.35,0.000706,0.0142
chr1,191025306,191027001,1696,*,9.51,9.68,9.32,0.36,0.000707,0.0142
chr3,14886021,14887837,1817,*,9.89,10.05,9.71,0.33,0.000707,0.0142
chr2,69128476,69129588,1113,*,8.26,8.52,7.94,0.58,0.000708,0.0142
chr16,84834312,84836408,2097,*,10.16,10.31,10,0.31,0.00071,0.0142
chr11,8628567,8629724,1158,*,8.73,8.95,8.48,0.47,0.000711,0.0142
chr12,111943865,111947006,3142,*,10.13,10.28,9.97,0.3,0.000713,0.0143
chr1,4491609,4493609,2001,*,8.7,8.93,8.42,0.51,0.000714,0.0143
chr13,67080616,67082327,1712,*,9.19,9.38,8.96,0.41,0.000715,0.0143
chr8,116942867,116944732,1866,*,9.36,9.54,9.16,0.39,0.000716,0.0143
chr4,155200555,155201657,1103,*,9.15,9.34,8.92,0.43,0.000718,0.0143
chr7,123365581,123366515,935,*,8.96,9.17,8.72,0.45,0.000721,0.0144
chr1,71102023,71103909,1887,*,10.03,10.18,9.85,0.32,0.000722,0.0144
chr16,36934005,36935296,1292,*,8.73,8.94,8.48,0.47,0.000725,0.0144
chr13,31805886,31808938,3053,*,9.33,9.51,9.13,0.38,0.000726,0.0144
chr5,129778908,129779798,891,*,7.88,8.17,7.53,0.64,0.000726,0.0144
chr10,91270017,91271763,1747,*,9.12,9.31,8.9,0.41,0.000728,0.0145
chrX,113297369,113299070,1702,*,9.17,9.37,8.94,0.42,0.000729,0.0145
chr5,129895325,129896170,846,*,8.65,8.87,8.39,0.48,0.000729,0.0145
chr3,32616287,32617576,1290,*,8.74,8.95,8.48,0.47,0.000729,0.0145
chr10,57531796,57532847,1052,*,9.06,9.25,8.84,0.42,0.000729,0.0145
chr11,75164694,75166030,1337,*,8.41,8.65,8.12,0.52,0.00073,0.0145
chr13,23760753,23762829,2077,*,10.23,10.37,10.07,0.3,0.00073,0.0145
chr7,36695823,36698798,2976,*,9.75,9.91,9.56,0.35,0.000731,0.0145
chr2,62411103,62412613,1511,*,8.33,8.58,8.03,0.54,0.000732,0.0145
chr13,79442737,79443688,952,*,7.3,6.72,7.71,-0.99,0.000732,0.0145
chr2,14631448,14632381,934,*,8.67,8.89,8.4,0.48,0.000733,0.0145
chr1,36511388,36513046,1659,*,9.52,9.69,9.33,0.37,0.000733,0.0145
chr16,57120848,57122429,1582,*,9.71,9.87,9.53,0.34,0.000736,0.0145
