"Table 4. Age-regulated genes in LT-HSC, Age-up-regulated genes are in red, and age-down-regulated genes are in green."					
Probe set	Gene symbol	FC	Fold change	Representative public ID	
1419307_at	Tnfrsf13c/Baff	-3.1	3.1	240047	
1419394_s_at	S100a8	-8.0	8.0	21567	
1419444_at	Sap18	-3.0	3.0	344671	
1419519_at	Igf1	-3.4	3.4	268521	
1419538_at	Flt3	-2.9	2.9	194	
1419573_a_at	Lgals1	-4.8	4.8	43831	
1419594_at	Ctsg	-5.9	5.9	4858	
1419606_a_at	Tnnt1	-5.2	5.2	258670	
1419691_at	Camp	-38.6	38.6	3834	
1419764_at	Chi3l3	-15.3	15.3	4571	
1419765_at	Cul2	-2.3	2.3	291707	
1419910_at	9630025B04Rik	-2.4	2.4	AW547060	
1419916_at	Rnf20	-1.7	1.7	AW540162	
1420166_at	Dntt	-4.4	4.4	BB160593	
1420396_at	Cd160	-1.8	1.8	34693	
1420404_at	Cd86	-4.4	4.4	1452	
1420671_x_at	Ms4a4c	-3.0	3.0	159648	
1420915_at	Stat1	-1.6	1.6	277406	
1421578_at	Ccl4	-2.0	2.0	244263	
1421855_at	Fgl2	-1.4	1.4	292100	
1421945_a_at	Bxdc1	-1.9	1.9	11480	
1422307_at	Sppl3	-1.6	1.6	246376	
1422367_at	Olfr70	-3.0	3.0	331571	
1422706_at	Tmepai	-2.9	2.9	73682	
1422818_at	Nedd9	-2.0	2.0	8315	
1422845_at	Canx	-1.5	1.5	248827	
1423077_at	Snx9	-1.6	1.6	89515	
1423218_a_at	Mrpl49	-1.9	1.9	181290	
1423467_at	Ms4a4b	-8.5	8.5	33957	
1423475_at	Cnnm2	-1.8	1.8	306903	
1423518_at	Csk	-1.8	1.8	21974	
1423606_at	Postn	-3.2	3.2	236067	
1423756_s_at	Igfbp4	-2.6	2.6	233799	
1424032_at	0610039P13Rik	-2.2	2.2	28804	
1424111_at	Igf2r	-1.6	1.6	213226	
1424305_at	Igj	-4.1	4.1	1192	
1424446_at	Armc7	-1.9	1.9	38019	
1424524_at	1200002N14Rik	-1.7	1.7	35450	
1424564_at	2410001C21Rik	-1.9	1.9	25157	
1424585_at	Ranbp10	-1.6	1.6	4206	
1424612_at	9330161F08Rik	-1.9	1.9	258402	
1424677_at	Cyp2j9	-1.9	1.9	87271	
1424733_at	P2ry14	-1.9	1.9	347424	
1424797_a_at	Pitx2	-2.9	2.9	246804	
1424923_at	Serpina3g	-1.3	1.3	264709	
1425001_at	Echdc1	-2.2	2.2	41728	
1425084_at	Ian3	-4.8	4.8	30479	
1425086_a_at	Slamf6	-1.9	1.9	245727	
1425226_x_at	Tcrb-V13	-3.7	3.7	345390	
1425421_at	Rbbp6	-1.8	1.8	4480	
1425548_a_at	Lst1	-2.5	2.5	19379	
1426159_x_at	Tcrb-V13	-2.2	2.2	123831	
1426208_x_at	Plagl1	-2.2	2.2	287857	
1426401_at	Ppp3ca	-2.3	2.3	331389	
1426415_a_at	Trim25	-16.2	16.2	248445	
1426440_at	Dhrs7	-2.5	2.5	289653	
1426454_at	Arhgdib	-1.9	1.9	2241	
1426612_at	Tipin	-2.3	2.3	196219	
1426657_s_at	Phgdh	-2.5	2.5	291457	
1426658_x_at	Phgdh	-3.7	3.7	324382	
1426708_at	Antxr2	-2.2	2.2	BC003908	
1426772_x_at	Tcrb-V13	-4.2	4.2	123831	
1426808_at	Lgals3	-1.8	1.8	248615	
1426851_a_at	Nov	-4.6	4.6	5167	
1426906_at	Ifi203	-1.3	1.3	261270	
1427076_at	Mpeg1	-4.0	4.0	3999	
1427184_at	Tcrb-V13	-5.6	5.6	123831	
1427242_at	Ddx4	-2.1	2.1	12818	
1427290_at	Krt2-19	-2.8	2.8	AF312018	
1427934_at	2610208E05Rik	-2.5	2.5	1182	
1428140_at	Oxct1	-2.1	2.1	13445	
1428411_at	1700020I14Rik	-1.8	1.8	246412	
1428583_at	9530056D24Rik	-1.6	1.6	BQ176203	
1428624_at	2810482I07Rik	-1.4	1.4	AK013434	
1428861_at	4631422O05Rik	-2.1	2.1	328360	
1428903_at	3110037I16Rik	-1.5	1.5	151436	
1429017_at	2310076G09Rik	-2.0	2.0	AK010198	
1429103_at	Tomm22	-2.6	2.6	246435	
1429104_at	0610025L06Rik	-2.7	2.7	21687	
1429131_at	Ube2v2	-2.0	2.0	235407	
1429162_at	1500015A07Rik	-1.8	1.8	329475	
1429667_at	E130119J07Rik	-2.5	2.5	BB465134	
1429727_at	Slc16a9	-2.3	2.3	19325	
1429797_at	5730596K20Rik	-1.4	1.4	264016	
1429831_at	Pik3ap1	-2.2	2.2	313536	
1430354_x_at	Scyl1	-12.6	12.6	276063	
1430373_at	5430427O19Rik	-2.2	2.2	185296	
1430534_at	Rnase6	-3.4	3.4	103835	
1430694_at	Star	-1.7	1.7	293314	
1430813_at	1810057I13Rik	-2.0	2.0	AK007887	
1430920_at	2410075D05Rik	-2.5	2.5	294503	
1430943_at	6030498E09Rik	-2.3	2.3	113311	
1431830_at	4632409L22Rik	-1.8	1.8	333574	
1432136_s_at	Zdhhc4	-2.4	2.4	261606	
1433471_at	Tcf7	-3.6	3.6	31630	
1433575_at	Sox4	-1.9	1.9	240627	
1433708_at	Srp68	-2.3	2.3	29655	
1434005_at	Rbms1	-2.2	2.2	AW541585	
1434191_at	A530016O06Rik	-2.0	2.0	352044	
1434203_at	BC055107	-1.4	1.4	256058	
1434355_at	Zfp617	-1.9	1.9	BB159201	
1434413_at	Igf1	-5.7	5.7	BG092677	
1434608_at	Ddx52	-1.5	1.5	280544	
1434684_at	Rin3	-2.3	2.3	24145	
1434728_at	Gria3	-2.5	2.5	234688	
1434791_at	Atp6v0a2	-1.8	1.8	BM229554	
1434900_at	Mkl1	-3.0	3.0	24862	
1434920_a_at	Evl	-5.8	5.8	238841	
1435187_at	Tomm20	-2.0	2.0	BG064946	
1435227_at	Bcl11b	-17.5	17.5	BM117007	
1435236_at	A630018P17Rik	-1.4	1.4	336318	
1435357_at	D4Wsu53e	-2.1	2.1	331964	
1435440_at	Pdzk8	-1.5	1.5	268797	
1435788_at	2900086B20Rik	-2.1	2.1	BE956535	
1436037_at	Gm1958	-1.8	1.8	31903	
1436097_x_at	Arhgap9	-2.2	2.2	227198	
1436171_at	6030405P05Rik	-1.4	1.4	251048	
1436182_at	Satb1	-1.6	1.6	BG092481	
1436183_at	9830115L13Rik	-1.4	1.4	BB757349	
1436200_at	A830039N02Rik	-1.8	1.8	30731	
1436309_at	Neto2	-2.0	2.0	126079	
1436419_a_at	1700097N02Rik	-2.0	2.0	AA266367	
1436423_at	E430004N04Rik	-1.4	1.4	123021	
1436576_at	A630077B13Rik	-1.7	1.7	34479	
1436598_at	Icos	-23.2	23.2	AV313923	
1436600_at	Tnrc9	-2.1	2.1	302755	
1436716_at	Ppp1r14b	-2.3	2.3	BM941586	
1436740_at	A430108E01Rik	-1.7	1.7	349093	
1436836_x_at	Cnn3	-1.7	1.7	275555	
1436876_at	D13Bwg1146e	-4.7	4.7	100348	
1436902_x_at	Tmsb10	-2.9	2.9	3532	
1437041_at	5730406M06Rik	-1.9	1.9	100117	
1437185_s_at	Tmsb10	-1.9	1.9	3532	
1437279_x_at	Sdc1	-2.4	2.4	2580	
1437414_at	4933431C08Rik	-1.7	1.7	22858	
1437490_x_at	Uap1	-1.7	1.7	27969	
1437559_at	D13Bwg1146e	-4.3	4.3	100348	
1437726_x_at	C1qb	-1.9	1.9	2570	
1437934_at	Tia1	-1.4	1.4	274425	
1438148_at	Gm1960	-2.4	2.4	244289	
1438222_at	D2Ertd612e	-1.4	1.4	BB079962	
1438748_at	9830127L17Rik	-2.0	2.0	BB410295	
1438752_at	A230058F20Rik	-2.0	2.0	AV327739	
1439364_a_at	Mmp2	-1.6	1.6	29564	
1439449_at	Satb1	-3.3	3.3	4381	
1439485_at	Zfp608	-1.5	1.5	AV222442	
1439622_at	Rassf4	-2.2	2.2	257931	
1439764_s_at	Imp2	-2.3	2.3	294740	
1439808_at	A130090K04Rik	-2.8	2.8	122667	
1439959_at	Fgf11	-1.9	1.9	269011	
1440840_at	D630004K10Rik	-2.2	2.2	BB335455	
1440856_at	Mapk8	-1.7	1.7	21495	
1441280_at	Kcnk12	-2.9	2.9	100281	
1441317_x_at	Gababrbp	-2.1	2.1	303004	
1441501_at	9330147J08Rik	-1.5	1.5	AV382262	
1441857_x_at	Seh1l	-5.1	5.1	307315	
1442129_at	1810058I24Rik	-1.4	1.4	AI848234	
1442247_at	Zfp286	-1.9	1.9	168530	
1443282_at	2410002M20Rik	-1.8	1.8	BB556993	
1443485_at	Epha7	-1.9	1.9	BB361326	
1443539_at	Arhgef11	-1.3	1.3	BE957000	
1443885_at	A730060K18Rik	-1.5	1.5	197101	
1443889_at	LOC105892	-3.2	3.2	38909	
1443894_at	Evi2b	-2.2	2.2	BB236216	
1444295_at	D930014N22Rik	-3.4	3.4	BB129888	
1444565_at	BB166591	-1.7	1.7	BB136975	
1446610_at	Elmo1	-2.1	2.1	214934	
1447046_at	Ucp2	-3.2	3.2	BM238032	
1447112_s_at	Cryl1	-2.2	2.2	25539	
1447433_at	Wdfy3	-3.3	3.3	346786	
1447550_at	187971	-2.6	2.6	187971	
1447624_s_at	4933409N07Rik	-2.3	2.3	173926	
1447854_s_at	Hist2h2bb	-1.7	1.7	5220	
1447927_at	AI595338	-1.9	1.9	354723	
1448040_at	Tmc4	-2.8	2.8	AI662265	
1448115_at	Htf9c	-1.9	1.9	271798	
1448138_at	Ppp2r4	-2.5	2.5	275393	
1448180_a_at	Hn1	-2.4	2.4	1775	
1448226_at	Rrm2	-2.9	2.9	99	
1448267_at	Stx5a	-2.4	2.4	153061	
1448318_at	Adfp	-1.9	1.9	381	
1448443_at	Serpini1	-2.2	2.2	NM_009250	
1448468_a_at	Kcnab1	-1.8	1.8	316402	
1448502_at	Slc16a7	-1.6	1.6	NM_011391	
1448575_at	Il7r	-14.6	14.6	389	
1448591_at	Ctss	-4.8	4.8	3619	
1448659_at	Casp7	-1.6	1.6	35687	
1448726_at	Snapc2	-1.8	1.8	28452	
1448756_at	S100a9	-9.8	9.8	2128	
1448985_at	Dusp22	-3.3	3.3	289646	
1448995_at	Cxcl4	-2.3	2.3	332490	
1449001_at	Ivd	-1.6	1.6	6635	
1449222_at	Ebi3	-5.4	5.4	256798	
1449619_s_at	Arhgap9	-2.3	2.3	227198	
1449633_s_at	C330027I04Rik	-2.2	2.2	28738	
1449757_x_at	Dntt	-25.2	25.2	25620	
1449869_at	Vpreb1	-6.9	6.9	NM_016982	
1449897_a_at	Mtcp1	-2.6	2.6	16366	
1450004_at	Tslp	-1.9	1.9	143716	
1450545_a_at	Dntt	-5.6	5.6	25620	
1450639_at	Slc28a2	-2.6	2.6	29510	
1450694_at	Fkbp2	-2.8	2.8	4234	
1450734_at	Rgpr	-2.0	2.0	87114	
1450792_at	Tyrobp	-2.6	2.6	46301	
1450965_at	Tex261	-2.1	2.1	28371	
1451173_at	D430025H09Rik	-8.2	8.2	269413	
1451263_a_at	Fabp4	-10.8	10.8	582	
1451780_at	Blnk	-2.7	2.7	9749	
1451794_at	C630016B22Rik	-1.4	1.4	23047	
1452050_at	Camk1d	-2.9	2.9	313822	
1452056_s_at	Ppp3ca	-2.1	2.1	331389	
1452205_x_at	Tcrb-V13	-4.0	4.0	345390	
1452231_x_at	Ifi203	-1.3	1.3	261270	
1452307_at	Cables2	-1.5	1.5	45118	
1452463_x_at	Igk-V8	-6.8	6.8	244362	
1452700_s_at	1110008P08Rik	-1.6	1.6	AK003597	
1452733_at	Rnf24	-1.5	1.5	BG068794	
1452803_at	Glipr2	-3.0	3.0	22213	
1452815_at	P2ry10	-2.8	2.8	74639	
1453152_at	Mamdc2	-1.7	1.7	50841	
1453552_at	2310014F07Rik	-5.3	5.3	AK009336	
1453562_a_at	1110025F24Rik	-3.4	3.4	AK012340	
1453591_at	5730437N04Rik	-1.8	1.8	AK017626	
1453782_at	3021401C12Rik	-2.1	2.1	BI737125	
1454006_a_at	Rep-8	-1.4	1.4	29301	
1454268_a_at	Cyba	-2.7	2.7	271671	
1454708_at	Ablim1	-2.0	2.0	244618	
1454862_at	Phldb2	-1.5	1.5	211477	
1455092_at	Zfp207	-1.6	1.6	102253	
1455198_a_at	Ppp2r3a	-2.3	2.3	304306	
1455439_a_at	Lgals1	-4.4	4.4	43831	
1455591_at	Nedd10	-2.7	2.7	AV236080	
1455692_x_at	1700097N02Rik	-1.8	1.8	AA266367	
1455710_x_at	Mtcp1	-2.5	2.5	16366	
1455762_at	C330002I19Rik	-2.4	2.4	250641	
1455812_x_at	Slitl2	-2.0	2.0	BB530515	
1455908_a_at	Scpep1	-1.6	1.6	34126	
1455946_x_at	Tmsb10	-2.1	2.1	AV148480	
1455990_at	Kif23	-13.6	13.6	259374	
1456195_x_at	Itgb5	-5.2	5.2	6424	
1456328_at	A530094C12Rik	-3.8	3.8	30832	
1456756_at	E430016P22Rik	-1.5	1.5	BB295976	
1457114_at	Tor1b	-2.3	2.3	BB475906	
1457376_at	Itga4	-1.9	1.9	33596	
1457670_s_at	Lmna	-2.1	2.1	243014	
1457981_x_at	2810418N01Rik	-1.8	1.8	271603	
1458044_at	1810034M08Rik	-7.7	7.7	BQ175333	
1458292_at	Psma1	-1.7	1.7	121265	
1458395_at	B930054O08	-2.2	2.2	BB811756	
1458634_at	Cd47	-1.7	1.7	299474	
1458690_at	Axot	-1.9	1.9	260635	
1459386_at	BC021921	-1.7	1.7	290790	
1459741_x_at	Ucp2	-1.6	1.6	171378	
1460006_at	Atbf1	-3.9	3.9	196564	
1460177_at	Cndp2	-1.5	1.5	29646	
1460195_at	Mrps11	-1.7	1.7	297033	
1460218_at	Cd52	-3.3	3.3	24130	
1460224_at	Snx2	-1.4	1.4	252171	
1460342_s_at	AA536749	-1.6	1.6	2402	
1460419_a_at	Prkcb1	-3.1	3.1	207496	
1460465_at	A930038C07Rik	-5.6	5.6	52392	
1460499_at	9230110I02Rik	-1.5	1.5	99652	
1460649_at	Irak1	-2.1	2.1	38241	
