"","X.term.ID","term.description","observed.gene.count","background.gene.count","false.discovery.rate","matching.proteins.in.your.network..IDs.","matching.proteins.in.your.network..labels."
"73","GO:0001822","kidney development",9,274,0.0069,"ENSMUSP00000020974,ENSMUSP00000023832,ENSMUSP00000027053,ENSMUSP00000033952,ENSMUSP00000034745,ENSMUSP00000060099,ENSMUSP00000069616,ENSMUSP00000113040,ENSMUSP00000132547","Egr1,Id2,Mef2c,Myo1e,Rdh10,Rgn,Sfrp1,Tacstd2,Wwtr1"
"74","GO:0045165","cell fate commitment",7,247,0.0333,"ENSMUSP00000020974,ENSMUSP00000029795,ENSMUSP00000033952,ENSMUSP00000076886,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000132547","Cyp26b1,Id2,Kdr,Mef2c,Ntf3,Rorc,Sfrp1"
"75","GO:1902949","positive regulation of tau-protein kinase activity",2,5,0.0137,"ENSMUSP00000022616,ENSMUSP00000069616","Clu,Egr1"
"76","GO:1902903","regulation of supramolecular fiber organization",8,320,0.0365,"ENSMUSP00000022616,ENSMUSP00000028386,ENSMUSP00000032738,ENSMUSP00000048736,ENSMUSP00000060099,ENSMUSP00000084882,ENSMUSP00000099945,ENSMUSP00000132547","Chrna7,Clu,Gda,Mef2c,Nckap1,Plek,Ptger4,Tacstd2"
"77","GO:0070244","negative regulation of thymocyte apoptotic process",2,10,0.0303,"ENSMUSP00000029566,ENSMUSP00000029795","Efna1,Rorc"
"78","GO:0014706","striated muscle tissue development",8,308,0.0312,"ENSMUSP00000020692,ENSMUSP00000020974,ENSMUSP00000032961,ENSMUSP00000035900,ENSMUSP00000056703,ENSMUSP00000057096,ENSMUSP00000069616,ENSMUSP00000132547","Bmpr1a,Btg2,Dsg2,Egr1,Id2,Ly6e,Mef2c,Nupr1"
"79","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling",4,89,0.043,"ENSMUSP00000062615,ENSMUSP00000109144,ENSMUSP00000123924,ENSMUSP00000128388","Kdr,Pdgfd,Ppp1r16b,Selp"
"80","GO:0045598","regulation of fat cell differentiation",6,129,0.0096,"ENSMUSP00000006761,ENSMUSP00000020974,ENSMUSP00000029795,ENSMUSP00000033952,ENSMUSP00000057815,ENSMUSP00000113040","Id2,Rorc,Runx1t1,Sfrp1,Wwtr1,Zfp36"
"81","GO:0002707","negative regulation of lymphocyte mediated immunity",3,39,0.0333,"ENSMUSP00000015460,ENSMUSP00000023151,ENSMUSP00000032472","Bcl6,Klrb1b,Slamf1"
"82","GO:2001214","positive regulation of vasculogenesis",3,9,0.0022,"ENSMUSP00000040331,ENSMUSP00000109144,ENSMUSP00000122072","Asb4,Kdr,Ramp2"
"83","GO:0010818","T cell chemotaxis",2,9,0.0265,"ENSMUSP00000019064,ENSMUSP00000052404","Cxcl16,Gpr183"
"84","GO:0048541","Peyer's patch development",3,14,0.0047,"ENSMUSP00000020974,ENSMUSP00000029795,ENSMUSP00000037966","Id2,Rorc,Tox"
"85","GO:0050818","regulation of coagulation",7,80,0.00027,"ENSMUSP00000023629,ENSMUSP00000029140,ENSMUSP00000032492,ENSMUSP00000063548,ENSMUSP00000096877,ENSMUSP00000099945,ENSMUSP00000123924","Abat,Cd9,Plek,Procr,Pros1,Selp,Thbd"
"86","GO:0051049","regulation of transport",34,1782,0.00015,"ENSMUSP00000000109,ENSMUSP00000004137,ENSMUSP00000006679,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000023629,ENSMUSP00000023832,ENSMUSP00000024860,ENSMUSP00000028241,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000033634,ENSMUSP00000033952,ENSMUSP00000041204,ENSMUSP00000048736,ENSMUSP00000049967,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000070868,ENSMUSP00000088833,ENSMUSP00000099504,ENSMUSP00000100862,ENSMUSP00000103939,ENSMUSP00000103958,ENSMUSP00000107863,ENSMUSP00000110417,ENSMUSP00000116191,ENSMUSP00000132547,ENSMUSP00000139672","Abat,Abcb1a,Acsl4,Cd38,Cd63,Chrna7,Clu,Cntn1,Dnm3,Ehd3,Fhl1,Gem,Gstm7,Itgb3,Kcnip3,Lpl,Mef2c,Neo1,Ntf3,Pclo,Pla2g4a,Prnp,Pros1,Prtn3,Ptger4,Rab34,Rgn,Sfrp1,Slamf1,Stom,Stxbp4,Tbc1d8,Trpc1,Trpc6"
"87","GO:0048340","paraxial mesoderm morphogenesis",2,13,0.0405,"ENSMUSP00000028386,ENSMUSP00000035900","Bmpr1a,Nckap1"
"88","GO:0042178","xenobiotic catabolic process",3,10,0.0027,"ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000012348","Gstm1,Gstm2,Gstm7"
"89","GO:0048645","animal organ formation",3,38,0.0318,"ENSMUSP00000027053,ENSMUSP00000035900,ENSMUSP00000132547","Bmpr1a,Mef2c,Rdh10"
"90","GO:2000052","positive regulation of non-canonical Wnt signaling pathway",2,13,0.0405,"ENSMUSP00000033952,ENSMUSP00000077232","Mllt3,Sfrp1"
"91","GO:0030278","regulation of ossification",7,205,0.0164,"ENSMUSP00000020974,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000047597,ENSMUSP00000048736,ENSMUSP00000122552,ENSMUSP00000132547","Bmpr1a,Dhrs3,Id2,Mef2c,Ptger4,Rorb,Sfrp1"
"92","GO:0014909","smooth muscle cell migration",2,9,0.0265,"ENSMUSP00000021028,ENSMUSP00000113062","Ddr1,Itgb3"
"93","GO:0048570","notochord morphogenesis",2,11,0.0334,"ENSMUSP00000028386,ENSMUSP00000029566","Efna1,Nckap1"
"94","GO:0043129","surfactant homeostasis",2,12,0.0372,"ENSMUSP00000070868,ENSMUSP00000109144","Kdr,Pla2g4a"
"95","GO:0048871","multicellular organismal homeostasis",9,289,0.0089,"ENSMUSP00000005829,ENSMUSP00000013995,ENSMUSP00000045369,ENSMUSP00000070868,ENSMUSP00000075429,ENSMUSP00000076886,ENSMUSP00000109144,ENSMUSP00000110696,ENSMUSP00000113040","Abca4,Ampd3,Cyp26b1,Kdr,Muc13,Ndn,Pla2g4a,Prcp,Wwtr1"
"96","GO:0072359","circulatory system development",18,889,0.0059,"ENSMUSP00000020974,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000034745,ENSMUSP00000035900,ENSMUSP00000048736,ENSMUSP00000056703,ENSMUSP00000057096,ENSMUSP00000059498,ENSMUSP00000069616,ENSMUSP00000075429,ENSMUSP00000087119,ENSMUSP00000099793,ENSMUSP00000102711,ENSMUSP00000109144,ENSMUSP00000122072,ENSMUSP00000122552,ENSMUSP00000132547","Bmpr1a,Dhrs3,Dsg2,Efna1,Egr1,Fap,Id2,Jun,Kdr,Ly6e,Mef2c,Mmp14,Myo1e,Nckap1,Prcp,Ptger4,Ramp2,Rhoj"
"97","GO:0060914","heart formation",2,13,0.0405,"ENSMUSP00000035900,ENSMUSP00000132547","Bmpr1a,Mef2c"
"98","GO:1901699","cellular response to nitrogen compound",11,530,0.0332,"ENSMUSP00000004137,ENSMUSP00000021028,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000056703,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000116191,ENSMUSP00000128388,ENSMUSP00000132547","Chrna7,Egr1,Ghr,Gstm7,Itgb3,Ly6e,Mef2c,Pdgfd,Prnp,Sfrp1,Stxbp4"
"99","GO:0045578","negative regulation of B cell differentiation",2,4,0.0107,"ENSMUSP00000020974,ENSMUSP00000033952","Id2,Sfrp1"
"100","GO:0048660","regulation of smooth muscle cell proliferation",8,161,0.0016,"ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000035900,ENSMUSP00000069616,ENSMUSP00000099411,ENSMUSP00000102711,ENSMUSP00000128388,ENSMUSP00000132547","Bmpr1a,Egr1,Id2,Itgb3,Jun,Mef2c,Pdgfd,Tgm2"
"101","GO:0032496","response to lipopolysaccharide",9,298,0.0104,"ENSMUSP00000019064,ENSMUSP00000034932,ENSMUSP00000034941,ENSMUSP00000048736,ENSMUSP00000057815,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000102711,ENSMUSP00000132547","Cxcl16,Jun,Mef2c,Plscr1,Plscr2,Plscr4,Ptger4,Thbd,Zfp36"
"102","GO:0051129","negative regulation of cellular component organization",14,669,0.014,"ENSMUSP00000006679,ENSMUSP00000006761,ENSMUSP00000022616,ENSMUSP00000029566,ENSMUSP00000030964,ENSMUSP00000048736,ENSMUSP00000052283,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000087119,ENSMUSP00000088833,ENSMUSP00000099793","Cd38,Clu,Dnm3,Efna1,Fap,Lamp2,Mmp14,Neo1,Prnp,Prtn3,Ptger4,Runx1t1,Tacstd2,Trpc6"
"103","GO:0048585","negative regulation of response to stimulus",25,1496,0.0074,"ENSMUSP00000004137,ENSMUSP00000015460,ENSMUSP00000022616,ENSMUSP00000023151,ENSMUSP00000023629,ENSMUSP00000029566,ENSMUSP00000032472,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000048736,ENSMUSP00000056703,ENSMUSP00000057815,ENSMUSP00000063548,ENSMUSP00000063656,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000077232,ENSMUSP00000087119,ENSMUSP00000088833,ENSMUSP00000096877,ENSMUSP00000099945,ENSMUSP00000105926,ENSMUSP00000113040,ENSMUSP00000122552","Abat,Bcl6,Cd9,Chrna7,Clu,Cyp26b1,Dhrs3,Efna1,Egr1,Gstm7,Klrb1b,Ly6e,Mllt3,Mmp14,Neo1,Oxr1,Plek,Prnp,Pros1,Ptger4,Sfrp1,Slamf1,Thbd,Wwtr1,Zfp36"
"104","GO:0009612","response to mechanical stimulus",7,219,0.021,"ENSMUSP00000020692,ENSMUSP00000021028,ENSMUSP00000028639,ENSMUSP00000048736,ENSMUSP00000087119,ENSMUSP00000102711,ENSMUSP00000107182","Btg2,Dennd5b,Itgb3,Jun,Meis2,Mmp14,Ptger4"
"105","GO:0048646","anatomical structure formation involved in morphogenesis",19,890,0.0027,"ENSMUSP00000019998,ENSMUSP00000023151,ENSMUSP00000027053,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000063656,ENSMUSP00000075429,ENSMUSP00000084918,ENSMUSP00000087119,ENSMUSP00000099411,ENSMUSP00000099793,ENSMUSP00000102711,ENSMUSP00000109144,ENSMUSP00000122072,ENSMUSP00000132547","Aldh1a1,Bcl6,Bmpr1a,Cd9,Clec1b,Efna1,Fap,Jun,Kdr,Mef2c,Mmp14,Nckap1,Neo1,Perp,Prcp,Ramp2,Rdh10,Sfrp1,Tgm2"
"106","GO:0048732","gland development",11,461,0.0159,"ENSMUSP00000001279,ENSMUSP00000020974,ENSMUSP00000023832,ENSMUSP00000033952,ENSMUSP00000035900,ENSMUSP00000056703,ENSMUSP00000063562,ENSMUSP00000099411,ENSMUSP00000102711,ENSMUSP00000107873,ENSMUSP00000113062","Bmpr1a,Ddr1,Id2,Jun,Lsr,Ly6e,Pgr,Rgn,Sfrp1,Tgm2,Vwf"
"107","GO:0035239","tube morphogenesis",19,690,0.00021,"ENSMUSP00000020974,ENSMUSP00000027053,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000033952,ENSMUSP00000034745,ENSMUSP00000035900,ENSMUSP00000048736,ENSMUSP00000060099,ENSMUSP00000063562,ENSMUSP00000075429,ENSMUSP00000087119,ENSMUSP00000099411,ENSMUSP00000099793,ENSMUSP00000102711,ENSMUSP00000109144,ENSMUSP00000113062,ENSMUSP00000122072,ENSMUSP00000132547","Bmpr1a,Ddr1,Efna1,Fap,Id2,Jun,Kdr,Mef2c,Mmp14,Myo1e,Nckap1,Pgr,Prcp,Ptger4,Ramp2,Rdh10,Sfrp1,Tacstd2,Tgm2"
"108","GO:0022602","ovulation cycle process",3,45,0.043,"ENSMUSP00000032738,ENSMUSP00000063562,ENSMUSP00000070868","Chrna7,Pgr,Pla2g4a"
"109","GO:1901214","regulation of neuron death",14,348,8.81e-05,"ENSMUSP00000020692,ENSMUSP00000022616,ENSMUSP00000032738,ENSMUSP00000034215,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000099504,ENSMUSP00000102711,ENSMUSP00000105926,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000132547","Btg2,Chrna7,Clu,Egr1,Ghr,Jun,Kcnip3,Kdr,Mef2c,Mt1,Neo1,Ntf3,Oxr1,Prnp"
"110","GO:0032102","negative regulation of response to external stimulus",8,282,0.0216,"ENSMUSP00000023629,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000048736,ENSMUSP00000057815,ENSMUSP00000063548,ENSMUSP00000063656,ENSMUSP00000096877","Abat,Cd9,Chrna7,Neo1,Pros1,Ptger4,Thbd,Zfp36"
"111","GO:0007565","female pregnancy",9,170,0.00049,"ENSMUSP00000018315,ENSMUSP00000021028,ENSMUSP00000030964,ENSMUSP00000033634,ENSMUSP00000057096,ENSMUSP00000063562,ENSMUSP00000070868,ENSMUSP00000096877,ENSMUSP00000113062","Acsl4,Cd38,Ddr1,Dsg2,Itgb3,Pgr,Pla2g4a,Thbd,Vmp1"
"112","GO:0071504","cellular response to heparin",2,4,0.0107,"ENSMUSP00000033952,ENSMUSP00000069616","Egr1,Sfrp1"
"113","GO:0006898","receptor-mediated endocytosis",7,173,0.0082,"ENSMUSP00000001279,ENSMUSP00000019064,ENSMUSP00000032492,ENSMUSP00000047730,ENSMUSP00000064538,ENSMUSP00000122072,ENSMUSP00000127329","Cd9,Cxcl16,Dnm3,Lsr,Ramp2,Sbspon,Vldlr"
"114","GO:0001654","eye development",9,376,0.0309,"ENSMUSP00000027053,ENSMUSP00000028639,ENSMUSP00000047597,ENSMUSP00000059498,ENSMUSP00000076729,ENSMUSP00000084918,ENSMUSP00000102711,ENSMUSP00000104732,ENSMUSP00000109144","Aldh1a1,Jun,Kdr,Mab21l2,Maf,Meis2,Rdh10,Rhoj,Rorb"
"115","GO:0003179","heart valve morphogenesis",3,47,0.0469,"ENSMUSP00000029566,ENSMUSP00000035900,ENSMUSP00000132547","Bmpr1a,Efna1,Mef2c"
"116","GO:0048858","cell projection morphogenesis",13,439,0.0018,"ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000023312,ENSMUSP00000029566,ENSMUSP00000032738,ENSMUSP00000042211,ENSMUSP00000045369,ENSMUSP00000063656,ENSMUSP00000105053,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000113062,ENSMUSP00000127329","Alcam,Arhgef28,Chrna7,Clu,Ddr1,Efna1,Itgb3,Kdr,Ndn,Neo1,Ntf3,Sema7a,Vldlr"
