num.genes,GO,
1,metal ion binding [GO:0046872],
1,guanine deaminase activity [GO:0008892],
1,glutamatergic synapse [GO:0098978],
1,filamentous actin [GO:0031941],
1,extracellular matrix [GO:0031012],
1,exocyst [GO:0000145],
1,cilium [GO:0005929],
1,ciliary pocket membrane [GO:0020018],
1,ciliary basal body [GO:0036064],
1,chylomicron [GO:0042627],
1,chromosome centromeric region [GO:0000775],
1,chromosome [GO:0005694],
1,chromatin [GO:0000785],
1,centrosome [GO:0005813],
1,centriolar satellite [GO:0034451],
1,cell-cell adherens junction [GO:0005913],
1,cell cycle [GO:0007049],
1,cation channel complex [GO:0034703],
1,basal plasma membrane [GO:0009925],
1,basal part of cell [GO:0045178],
1,azurophil granule lumen [GO:0035578],
1,autophagosome membrane [GO:0000421],
1,autolysosome [GO:0044754],
1,apicolateral plasma membrane [GO:0016327],
1,apical tubulobulbar complex [GO:0061828],
1,anchored component of postsynaptic membrane [GO:0099025],
1,anchored component of plasma membrane [GO:0046658],
1,alpha9-beta1 integrin-ADAM8 complex [GO:0071133],
1,aggresome [GO:0016235],
1,adrenomedullin receptor complex [GO:1903143],
1,actin cytoskeleton [GO:0015629],
1,acetylcholine-gated channel complex [GO:0005892],
1,Golgi membrane [GO:0000139],
1,Golgi apparatus [GO:0005794],
1,GTPase activator activity [GO:0005096],
1,Ctf18 RFC-like complex [GO:0031390],
1,B cell receptor complex [GO:0019815],
1,ATP binding [GO:0005524],
1,AIM2 inflammasome complex [GO:0097169],
1,4-aminobutyrate transaminase complex [GO:0032144],
1, zymogen granule membrane [GO:0042589],
1, zymogen granule [GO:0042588],
1, zymogen activation [GO:0031638],
1, zygotic determination of anterior/posterior axis embryo [GO:0007354],
1, xenobiotic transport across blood-brain barrier [GO:1990962],
1, xenobiotic transmembrane transporter activity [GO:0042910],
1, xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961],
1, wound healing spreading of cells [GO:0044319],
1, water transport [GO:0006833],
1, water transmembrane transporter activity [GO:0005372],
1, voltage-gated potassium channel complex [GO:0008076],
1, voltage-gated ion channel activity [GO:0005244],
1, voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels [GO:0099511],
1, virion binding [GO:0046790],
1, viral entry into host cell [GO:0046718],
1, vesicle membrane [GO:0012506],
1, vesicle budding from membrane [GO:0006900],
1, very-low-density lipoprotein particle remodeling [GO:0034372],
1, very-low-density lipoprotein particle receptor activity [GO:0030229],
1, very-low-density lipoprotein particle clearance [GO:0034447],
1, very-low-density lipoprotein particle binding [GO:0034189],
1, very long-chain fatty acid-CoA ligase activity [GO:0031957],
1, ventricular trabecula myocardium morphogenesis [GO:0003222],
1, ventricular compact myocardium morphogenesis [GO:0003223],
1, ventricular cardiac muscle tissue morphogenesis [GO:0055010],
1, ventral spinal cord development [GO:0021517],
1, vascular wound healing [GO:0061042],
1, vascular smooth muscle cell development [GO:0097084],
1, vascular endothelial growth factor-activated receptor activity [GO:0005021],
1, vascular endothelial growth factor receptor 2 binding [GO:0043184],
1, vacuolar membrane [GO:0005774],
1, ureteric bud morphogenesis [GO:0060675],
1, ureteric bud development [GO:0001657],
1, urea transport [GO:0015840],
1, urea transmembrane transporter activity [GO:0015204],
1, urea transmembrane transport [GO:0071918],
1, urea channel activity [GO:0015265],
1, unfolded protein binding [GO:0051082],
1, ubiquitin-like protein ligase binding [GO:0044389],
1, ubiquitin protein ligase activity [GO:0061630],
1, tyrosine phosphorylation of STAT protein [GO:0007260],
1, type B pancreatic cell development [GO:0003323],
1, type 2 immune response [GO:0042092],
1, type 1 metabotropic glutamate receptor binding [GO:0031798],
1, tumor necrosis factor receptor superfamily binding [GO:0032813],
1, tumor necrosis factor receptor binding [GO:0005164],
1, tubulin binding [GO:0015631],
1, tropomyosin binding [GO:0005523],
1, triglyceride lipase activity [GO:0004806],
1, triglyceride homeostasis [GO:0070328],
1, triglyceride catabolic process [GO:0019433],
1, triglyceride binding [GO:0017129],
1, tricuspid valve morphogenesis [GO:0003186],
1, tricellular tight junction assembly [GO:1904274],
1, tricellular tight junction [GO:0061689],
1, transport vesicle membrane [GO:0030658],
1, transport vesicle [GO:0030133],
1, transforming growth factor beta receptor activity type I [GO:0005025],
1, transepithelial transport [GO:0070633],
1, transdifferentiation [GO:0060290],
1, transcription factor AP-1 complex [GO:0035976],
1, transcription elongation factor complex [GO:0008023],
1, transcription corepressor binding [GO:0001222],
1, transaminase activity [GO:0008483],
1, toxin transport [GO:1901998],
1, toxic substance binding [GO:0015643],
1, tongue morphogenesis [GO:0043587],
1, toll-like receptor signaling pathway [GO:0002224],
1, toll-like receptor 3 signaling pathway [GO:0034138],
1, tight junction organization [GO:0120193],
1, thrombin-activated receptor signaling pathway [GO:0070493],
1, thigmotaxis [GO:0001966],
1, thiamine phosphate phosphatase activity [GO:0042131],
1, thiamine metabolic process [GO:0006772],
1, tertiary branching involved in mammary gland duct morphogenesis [GO:0060748],
1, terminal bouton [GO:0043195],
1, taurine metabolic process [GO:0019530],
1, tau protein binding [GO:0048156],
1, syntaxin binding [GO:0019905],
1, synaptic vesicle targeting [GO:0016080],
1, synaptic vesicle endocytosis [GO:0048488],
1, synaptic vesicle clustering [GO:0097091],
1, synaptic vesicle budding from presynaptic endocytic zone membrane [GO:0016185],
1, synaptic vesicle [GO:0008021],
1, synaptic transmission cholinergic [GO:0007271],
1, synaptic transmission GABAergic [GO:0051932],
1, synaptic cleft [GO:0043083],
1, synapse assembly [GO:0007416],
1, surfactant homeostasis [GO:0043129],
1, sulfotransferase activity [GO:0008146],
1, sulfation [GO:0051923],
1, sulfate binding [GO:0043199],
1, succinate-semialdehyde dehydrogenase binding [GO:0032145],
1, structural constituent of presynaptic active zone [GO:0098882],
1, structural constituent of postsynapse [GO:0099186],
1, stromal-epithelial cell signaling involved in prostate gland development [GO:0044345],
1, sterol metabolic process [GO:0016125],
1, stem cell proliferation [GO:0072089],
1, stem cell population maintenance [GO:0019827],
1, stem cell division [GO:0017145],
1, sprouting angiogenesis [GO:0002040],
1, spindle midzone [GO:0051233],
1, spherical high-density lipoprotein particle [GO:0034366],
1, sperm-egg recognition [GO:0035036],
1, somatic stem cell population maintenance [GO:0035019],
1, smoothened signaling pathway [GO:0007224],
1, smooth muscle cell-matrix adhesion [GO:0061302],
1, smooth muscle cell differentiation [GO:0051145],
1, small GTPase mediated signal transduction [GO:0007264],
1, slit diaphragm [GO:0036057],
1, skeletal system morphogenesis [GO:0048705],
1, skeletal system development [GO:0001501],
1, skeletal muscle atrophy [GO:0014732],
1, single-stranded DNA helicase activity [GO:0017116],
1, sialic acid binding [GO:0033691],
1, serotonin secretion by platelet [GO:0002554],
1, serotonin secretion [GO:0001820],
1, serine protease inhibitor complex [GO:0097180],
1, sensory processing [GO:0050893],
1, sensory perception of sound [GO:0007605],
1, semaphorin-plexin signaling pathway [GO:0071526],
1, semaphorin receptor binding [GO:0030215],
1, self proteolysis [GO:0097264],
1, selenium binding [GO:0008430],
1, segment specification [GO:0007379],
1, secretory granule membrane [GO:0030667],
1, secretory granule [GO:0030141],
1, scavenger receptor activity [GO:0005044],
1, scaffold protein binding [GO:0097110],
1, sarcoplasmic reticulum [GO:0016529],
1, salivary gland cavitation [GO:0060662],
1, saliva secretion [GO:0046541],
1, ruffle organization [GO:0031529],
1, rod spherule [GO:0044317],
1, ribonucleoprotein complex [GO:1990904],
1, ribonuclease activity [GO:0004540],
1, ribbon synapse [GO:0097470],
1, rhythmic process [GO:0048511],
1, retinoic acid receptor signaling pathway [GO:0048384],
1, retinoic acid catabolic process [GO:0034653],
1, retinoic acid binding [GO:0001972],
1, retinoic acid 4-hydroxylase activity [GO:0008401],
1, retinal rod cell development [GO:0046548],
1, retinal metabolic process [GO:0042574],
1, retinal ganglion cell axon guidance [GO:0031290],
1, retinal dehydrogenase activity [GO:0001758],
1, retinal cone cell development [GO:0046549],
1, retina vasculature morphogenesis in camera-type eye [GO:0061299],
1, retina homeostasis [GO:0001895],
1, retina development in camera-type eye [GO:0060041],
1, response to wounding [GO:0009611],
1, response to water deprivation [GO:0009414],
1, response to vitamin A [GO:0033189],
1, response to virus [GO:0009615],
1, response to tumor necrosis factor [GO:0034612],
1, response to toxic substance [GO:0009636],
1, response to thyroid hormone [GO:0097066],
1, response to stimulus [GO:0050896],
1, response to starvation [GO:0042594],
1, response to retinoic acid [GO:0032526],
1, response to peptide hormone [GO:0043434],
1, response to pain [GO:0048265],
1, response to odorant [GO:1990834],
1, response to nutrient [GO:0007584],
1, response to muscle stretch [GO:0035994],
1, response to misfolded protein [GO:0051788],
1, response to isolation stress [GO:0035900],
1, response to ischemia [GO:0002931],
1, response to iron ion [GO:0010039],
1, response to interleukin-18 [GO:0070673],
1, response to interleukin-15 [GO:0070672],
1, response to interleukin-1 [GO:0070555],
1, response to interferon-gamma [GO:0034341],
1, response to interferon-beta [GO:0035456],
1, response to interferon-alpha [GO:0035455],
1, response to hydroperoxide [GO:0033194],
1, response to glucose [GO:0009749],
1, response to glucocorticoid [GO:0051384],
1, response to food [GO:0032094],
1, response to electrical stimulus [GO:0051602],
1, response to copper ion [GO:0046688],
1, response to cadmium ion [GO:0046686],
1, response to bacterium [GO:0009617],
1, response to acidic pH [GO:0010447],
1, response to acetylcholine [GO:1905144],
1, response to X-ray [GO:0010165],
1, response to ATP [GO:0033198],
1, respiratory system process [GO:0003016],
1, reproductive process [GO:0022414],
1, replication fork [GO:0005657],
1, release of sequestered calcium ion into cytosol [GO:0051209],
1, release of cytochrome c from mitochondria [GO:0001836],
1, regulation of vesicle fusion [GO:0031338],
1, regulation of ventricular cardiac muscle cell action potential [GO:0098911],
1, regulation of vascular endothelial growth factor signaling pathway [GO:1900746],
1, regulation of ubiquitin protein ligase activity [GO:1904666],
1, regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803],
1, regulation of tumor necrosis factor production [GO:0032680],
1, regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418],
1, regulation of thyroid hormone mediated signaling pathway [GO:0002155],
1, regulation of synaptic vesicle exocytosis [GO:2000300],
1, regulation of synaptic transmission dopaminergic [GO:0032225],
1, regulation of synaptic transmission cholinergic [GO:0032222],
1, regulation of synaptic transmission GABAergic [GO:0032228],
1, regulation of synapse structure or activity [GO:0050803],
1, regulation of synapse structural plasticity [GO:0051823],
1, regulation of superoxide anion generation [GO:0032928],
1, regulation of stress fiber assembly [GO:0051492],
1, regulation of sprouting angiogenesis [GO:1903670],
1, regulation of spongiotrophoblast cell proliferation [GO:0060721],
1, regulation of serotonin uptake [GO:0051611],
1, regulation of response to osmotic stress [GO:0047484],
1, regulation of response to endoplasmic reticulum stress [GO:1905897],
1, regulation of response to drug [GO:2001023],
1, regulation of respiratory gaseous exchange by nervous system process [GO:0002087],
1, regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880],
1, regulation of release of sequestered calcium ion into cytosol [GO:0051279],
1, regulation of reactive oxygen species metabolic process [GO:2000377],
1, regulation of protein tyrosine kinase activity [GO:0061097],
1, regulation of protein sumoylation [GO:0033233],
1, regulation of protein stability [GO:0031647],
1, regulation of protein localization to plasma membrane [GO:1903076],
1, regulation of protein kinase activity [GO:0045859],
1, regulation of protein dephosphorylation [GO:0035304],
1, regulation of progesterone biosynthetic process [GO:2000182],
1, regulation of presynapse assembly [GO:1905606],
1, regulation of potassium ion transmembrane transporter activity [GO:1901016],
1, regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149],
1, regulation of postsynaptic membrane potential [GO:0060078],
1, regulation of positive thymic T cell selection [GO:1902232],
1, regulation of platelet aggregation [GO:0090330],
1, regulation of platelet activation [GO:0010543],
1, regulation of plasminogen activation [GO:0010755],
1, regulation of phosphatidylinositol 3-kinase signaling [GO:0014066],
1, regulation of phagocytosis [GO:0050764],
1, regulation of peptidyl-serine phosphorylation [GO:0033135],
1, regulation of norepinephrine secretion [GO:0014061],
1, regulation of neutrophil degranulation [GO:0043313],
1, regulation of neuronal signal transduction [GO:1902847],
1, regulation of neuron projection development [GO:0010975],
1, regulation of neuron differentiation [GO:0045664],
1, regulation of neuroinflammatory response [GO:0150077],
1, regulation of muscle contraction [GO:0006937],
1, regulation of midbrain dopaminergic neuron differentiation [GO:1904956],
1, regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307],
1, regulation of memory T cell differentiation [GO:0043380],
1, regulation of membrane depolarization [GO:0003254],
1, regulation of mast cell activation [GO:0033003],
1, regulation of macrophage migration [GO:1905521],
1, regulation of mRNA stability [GO:0043488],
1, regulation of long-term neuronal synaptic plasticity [GO:0048169],
1, regulation of lateral mesodermal cell fate specification [GO:0048378],
1, regulation of keratinocyte proliferation [GO:0010837],
1, regulation of keratinocyte differentiation [GO:0045616],
1, regulation of keratinocyte apoptotic process [GO:1902172],
1, regulation of ion transmembrane transport [GO:0034765],
1, regulation of intracellular calcium activated chloride channel activity [GO:1902938],
1, regulation of intestinal absorption [GO:1904478],
1, regulation of integrin activation [GO:0033623],
1, regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178],
1, regulation of insulin secretion [GO:0050796],
1, regulation of immune response [GO:0050776],
1, regulation of heart rate by cardiac conduction [GO:0086091],
1, regulation of growth [GO:0040008],
1, regulation of granulocyte chemotaxis [GO:0071622],
1, regulation of glutamate receptor signaling pathway [GO:1900449],
1, regulation of glucose transmembrane transport [GO:0010827],
1, regulation of gene expression by genetic imprinting [GO:0006349],
1, regulation of filopodium assembly [GO:0051489],
1, regulation of female gonad development [GO:2000194],
1, regulation of fatty acid metabolic process [GO:0019217],
1, regulation of extracellular matrix organization [GO:1903053],
1, regulation of extracellular matrix disassembly [GO:0010715],
1, regulation of exocytosis [GO:0017157],
1, regulation of establishment of planar polarity [GO:0090175],
1, regulation of endothelial cell migration [GO:0010594],
1, regulation of dendritic spine morphogenesis [GO:0061001],
1, regulation of dendrite development [GO:0050773],
1, regulation of defense response to virus by host [GO:0050691],
1, regulation of cytokinesis actomyosin contractile ring assembly [GO:2000431],
1, regulation of collagen catabolic process [GO:0010710],
1, regulation of circadian sleep/wake cycle wakefulness [GO:0010840],
1, regulation of chondrocyte differentiation [GO:0032330],
1, regulation of chloride transport [GO:2001225],
1, regulation of cellular senescence [GO:2000772],
1, regulation of cellular extravasation [GO:0002691],
1, regulation of cell-matrix adhesion [GO:0001952],
1, regulation of cell diameter [GO:0060305],
1, regulation of cell cycle process [GO:0010564],
1, regulation of cell adhesion mediated by integrin [GO:0033628],
1, regulation of cell adhesion [GO:0030155],
1, regulation of catalytic activity [GO:0050790],
1, regulation of cardiac muscle contraction [GO:0055117],
1, regulation of cardiac muscle cell proliferation [GO:0060043],
1, regulation of cardiac muscle cell membrane potential [GO:0086036],
1, regulation of cardiac conduction [GO:1903779],
1, regulation of canonical Wnt signaling pathway [GO:0060828],
1, regulation of calcium-mediated signaling [GO:0050848],
1, regulation of calcium ion import across plasma membrane [GO:1905664],
1, regulation of branching involved in prostate gland morphogenesis [GO:0060687],
1, regulation of axonogenesis [GO:0050770],
1, regulation of axon regeneration [GO:0048679],
1, regulation of axon guidance [GO:1902667],
1, regulation of autophagy [GO:0010506],
1, regulation of attachment of spindle microtubules to kinetochore [GO:0051988],
1, regulation of astrocyte chemotaxis [GO:2000458],
1, regulation of arachidonic acid secretion [GO:0090237],
1, regulation of angiogenesis [GO:0045765],
1, regulation of amyloid-beta clearance [GO:1900221],
1, regulation of amyloid precursor protein catabolic process [GO:1902991],
1, regulation of amyloid fibril formation [GO:1905906],
1, regulation of acid-sensing ion channel activity [GO:1901585],
1, regulation of SMAD protein signal transduction [GO:0060390],
1, regulation of Golgi organization [GO:1903358],
1, regulation of GTPase activity [GO:0043087],
1, regulation of G1/S transition of mitotic cell cycle [GO:2000045],
1, regulation of Fc receptor mediated stimulatory signaling pathway [GO:0060368],
1, regulation of ERK1 and ERK2 cascade [GO:0070372],
1, regulation of DNA-binding transcription factor activity [GO:0051090],
1, regulation of DNA binding [GO:0051101],
1, reelin-mediated signaling pathway [GO:0038026],
1, reelin receptor activity [GO:0038025],
1, recycling endosome [GO:0055037],
1, receptor signaling pathway via JAK-STAT [GO:0007259],
1, receptor recycling [GO:0001881],
1, pyridoxal phosphate binding [GO:0030170],
1, purine nucleoside transmembrane transporter activity [GO:0015211],
1, purine nucleoside transmembrane transport [GO:0015860],
1, purine nucleobase metabolic process [GO:0006144],
1, proximal/distal pattern formation [GO:0009954],
1, proteoglycan binding [GO:0043394],
1, protein-glutamine gamma-glutamyltransferase activity [GO:0003810],
1, protein-containing complex localization [GO:0031503],
1, protein-containing complex assembly [GO:0065003],
1, protein tyrosine phosphatase activity [GO:0004725],
1, protein tyrosine kinase collagen receptor activity [GO:0038062],
1, protein tyrosine kinase activity [GO:0004713],
1, protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740],
1, protein self-association [GO:0043621],
1, protein secretion by platelet [GO:0070560],
1, protein processing [GO:0016485],
1, protein phosphatase regulator activity [GO:0019888],
1, protein phosphatase inhibitor activity [GO:0004864],
1, protein phosphatase binding [GO:0019903],
1, protein phosphatase 1 binding [GO:0008157],
1, protein methylation [GO:0006479],
1, protein localization to tricellular tight junction [GO:0061833],
1, protein localization to synapse [GO:0035418],
1, protein localization to bicellular tight junction [GO:1902396],
1, protein localization [GO:0008104],
1, protein kinase C signaling [GO:0070528],
1, protein kinase B signaling [GO:0043491],
1, protein import into nucleus [GO:0006606],
1, protein import [GO:0017038],
1, protein homotrimerization [GO:0070207],
1, protein heterotetramerization [GO:0051290],
1, protein glycosylation [GO:0006486],
1, protein disulfide isomerase activity [GO:0003756],
1, protein destabilization [GO:0031648],
1, protein dephosphorylation [GO:0006470],
1, protein autoubiquitination [GO:0051865],
1, protein autoprocessing [GO:0016540],
1, protein acetylation [GO:0006473],
1, protein ADP-ribosylation [GO:0006471],
1, prostate gland epithelium morphogenesis [GO:0060740],
1, prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis [GO:0060527],
1, prostaglandin-D synthase activity [GO:0004667],
1, prostaglandin metabolic process [GO:0006693],
1, prostaglandin biosynthetic process [GO:0001516],
1, prostaglandin E receptor activity [GO:0004957],
1, promoter-specific chromatin binding [GO:1990841],
1, proline:sodium symporter activity [GO:0005298],
1, proline transport [GO:0015824],
1, progesterone receptor signaling pathway [GO:0050847],
1, profilin binding [GO:0005522],
1, primary lung bud formation [GO:0060431],
1, presynaptic membrane [GO:0042734],
1, presynaptic active zone cytoplasmic component [GO:0098831],
1, presynaptic active zone assembly [GO:1904071],
1, presynaptic active zone [GO:0048786],
1, presynapse to nucleus signaling pathway [GO:0099526],
1, potassium ion transport [GO:0006813],
1, potassium channel regulator activity [GO:0015459],
1, potassium channel activity [GO:0005267],
1, postsynaptic neurotransmitter receptor internalization [GO:0098884],
1, postsynaptic endocytic zone membrane [GO:0098844],
1, postsynapse organization [GO:0099173],
1, post-embryonic hemopoiesis [GO:0035166],
1, post-embryonic development [GO:0009791],
1, positive regulation of wound healing [GO:0090303],
1, positive regulation of voltage-gated calcium channel activity [GO:1901387],
1, positive regulation of viral process [GO:0048524],
1, positive regulation of viral entry into host cell [GO:0046598],
1, positive regulation of vasoconstriction [GO:0045907],
1, positive regulation of vacuole organization [GO:0044090],
1, positive regulation of uterine smooth muscle contraction [GO:0070474],
1, positive regulation of urine volume [GO:0035810],
1, positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060],
1, positive regulation of type I interferon production [GO:0032481],
1, positive regulation of tumor necrosis factor secretion [GO:1904469],
1, positive regulation of tumor necrosis factor production [GO:0032760],
1, positive regulation of tumor necrosis factor biosynthetic process [GO:0042535],
1, positive regulation of triglyceride biosynthetic process [GO:0010867],
1, positive regulation of transforming growth factor beta production [GO:0071636],
1, positive regulation of tongue muscle cell differentiation [GO:2001037],
1, positive regulation of synaptic vesicle recycling [GO:1903423],
1, positive regulation of synapse assembly [GO:0051965],
1, positive regulation of superoxide dismutase activity [GO:1901671],
1, positive regulation of superoxide anion generation [GO:0032930],
1, positive regulation of substrate adhesion-dependent cell spreading [GO:1900026],
1, positive regulation of substance P secretion neurotransmission [GO:1904496],
1, positive regulation of substance P secretion [GO:1904460],
1, positive regulation of striated muscle cell apoptotic process [GO:0010663],
1, positive regulation of stem cell differentiation [GO:2000738],
1, positive regulation of sodium ion transport [GO:0010765],
1, positive regulation of smooth muscle cell chemotaxis [GO:0071673],
1, positive regulation of sequestering of triglyceride [GO:0010890],
1, positive regulation of ryanodine-sensitive calcium-release channel activity [GO:0060316],
1, positive regulation of retinoic acid biosynthetic process [GO:1900054],
1, positive regulation of response to drug [GO:2001025],
1, positive regulation of respiratory burst [GO:0060267],
1, positive regulation of renal sodium excretion [GO:0035815],
1, positive regulation of release of sequestered calcium ion into cytosol [GO:0051281],
1, positive regulation of release of cytochrome c from mitochondria [GO:0090200],
1, positive regulation of regulatory T cell differentiation [GO:0045591],
1, positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602],
1, positive regulation of receptor-mediated endocytosis [GO:0048260],
1, positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427],
1, positive regulation of receptor recycling [GO:0001921],
1, positive regulation of receptor binding [GO:1900122],
1, positive regulation of proteolysis involved in cellular protein catabolic process [GO:1903052],
1, positive regulation of proteolysis [GO:0045862],
1, positive regulation of protein processing [GO:0010954],
1, positive regulation of protein modification process [GO:0031401],
1, positive regulation of protein metabolic process [GO:0051247],
1, positive regulation of protein localization to plasma membrane [GO:1903078],
1, positive regulation of protein localization to phagocytic vesicle [GO:1905171],
1, positive regulation of protein kinase activity [GO:0045860],
1, positive regulation of protein import into nucleus [GO:0042307],
1, positive regulation of protein dephosphorylation [GO:0035307],
1, positive regulation of protein binding [GO:0032092],
1, positive regulation of protein autophosphorylation [GO:0031954],
1, positive regulation of protein O-linked glycosylation [GO:1904100],
1, positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436],
1, positive regulation of proteasomal protein catabolic process [GO:1901800],
1, positive regulation of prostaglandin biosynthetic process [GO:0031394],
1, positive regulation of prolactin secretion [GO:1902722],
1, positive regulation of potassium ion transport [GO:0043268],
1, positive regulation of positive chemotaxis [GO:0050927],
1, positive regulation of phosphatase activity [GO:0010922],
1, positive regulation of peptidyl-threonine phosphorylation [GO:0010800],
1, positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862],
1, positive regulation of p38MAPK cascade [GO:1900745],
1, positive regulation of oxidative phosphorylation [GO:1903862],
1, positive regulation of ovarian follicle development [GO:2000386],
1, positive regulation of osteoclast differentiation [GO:0045672],
1, positive regulation of osteoblast proliferation [GO:0033690],
1, positive regulation of ossification [GO:0045778],
1, positive regulation of oligodendrocyte differentiation [GO:0048714],
1, positive regulation of odontogenesis [GO:0042482],
1, positive regulation of nuclear-transcribed mRNA catabolic process deadenylation-dependent decay [GO:1900153],
1, positive regulation of non-canonical Wnt signaling pathway [GO:2000052],
1, positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770],
1, positive regulation of nitric oxide biosynthetic process [GO:0045429],
1, positive regulation of neutrophil extravasation [GO:2000391],
1, positive regulation of neuroinflammatory response [GO:0150078],
1, positive regulation of neurofibrillary tangle assembly [GO:1902998],
1, positive regulation of neural precursor cell proliferation [GO:2000179],
1, positive regulation of natural killer cell proliferation [GO:0032819],
1, positive regulation of natural killer cell mediated cytotoxicity [GO:0045954],
1, positive regulation of myotube differentiation [GO:0010831],
1, positive regulation of multicellular organism growth [GO:0040018],
1, positive regulation of mucus secretion [GO:0070257],
1, positive regulation of monocyte extravasation [GO:2000439],
1, positive regulation of monocyte differentiation [GO:0045657],
1, positive regulation of monocyte chemotactic protein-1 production [GO:0071639],
1, positive regulation of mitochondrial fission [GO:0090141],
1, positive regulation of mitochondrial depolarization [GO:0051901],
1, positive regulation of mitochondrial calcium ion concentration [GO:0051561],
1, positive regulation of microtubule polymerization [GO:0031116],
1, positive regulation of mesenchymal cell proliferation [GO:0002053],
1, positive regulation of matrix metallopeptidase secretion [GO:1904466],
1, positive regulation of mast cell degranulation [GO:0043306],
1, positive regulation of maintenance of permeability of blood-brain barrier [GO:1905605],
1, positive regulation of macrophage migration [GO:1905523],
1, positive regulation of macrophage differentiation [GO:0045651],
1, positive regulation of macrophage derived foam cell differentiation [GO:0010744],
1, positive regulation of macrophage cytokine production [GO:0060907],
1, positive regulation of macrophage chemotaxis [GO:0010759],
1, positive regulation of macroautophagy [GO:0016239],
1, positive regulation of mRNA catabolic process [GO:0061014],
1, positive regulation of lymphocyte migration [GO:2000403],
1, positive regulation of low-density lipoprotein receptor activity [GO:1905599],
1, positive regulation of low-density lipoprotein particle receptor binding [GO:1905597],
1, positive regulation of low-density lipoprotein particle clearance [GO:1905581],
1, positive regulation of long-term synaptic potentiation [GO:1900273],
1, positive regulation of leukocyte tethering or rolling [GO:1903238],
1, positive regulation of lamellipodium assembly [GO:0010592],
1, positive regulation of killing of cells of other organism [GO:0051712],
1, positive regulation of keratinocyte proliferation [GO:0010838],
1, positive regulation of ion transmembrane transporter activity [GO:0032414],
1, positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231],
1, positive regulation of intracellular mRNA localization [GO:1904582],
1, positive regulation of interleukin-8 production [GO:0032757],
1, positive regulation of interleukin-8 biosynthetic process [GO:0045416],
1, positive regulation of interleukin-6 secretion [GO:2000778],
1, positive regulation of interleukin-6 biosynthetic process [GO:0045410],
1, positive regulation of interleukin-4 production [GO:0032753],
1, positive regulation of interleukin-3 biosynthetic process [GO:0045401],
1, positive regulation of interleukin-17 production [GO:0032740],
1, positive regulation of interleukin-12 biosynthetic process [GO:0045084],
1, positive regulation of interleukin-10 secretion [GO:2001181],
1, positive regulation of interleukin-10 production [GO:0032733],
1, positive regulation of interleukin-10 biosynthetic process [GO:0045082],
1, positive regulation of interleukin-1 beta secretion [GO:0050718],
1, positive regulation of interleukin-1 beta biosynthetic process [GO:0050725],
1, positive regulation of interferon-gamma secretion [GO:1902715],
1, positive regulation of interferon-gamma production [GO:0032729],
1, positive regulation of integrin-mediated signaling pathway [GO:2001046],
1, positive regulation of integrin activation [GO:0033625],
1, positive regulation of inositol-polyphosphate 5-phosphatase activity [GO:0010925],
1, positive regulation of inhibitory postsynaptic potential [GO:0097151],
1, positive regulation of immune response [GO:0050778],
1, positive regulation of hyaluronan biosynthetic process [GO:1900127],
1, positive regulation of hormone biosynthetic process [GO:0046886],
1, positive regulation of histone deacetylation [GO:0031065],
1, positive regulation of histone H3-K4 methylation [GO:0051571],
1, positive regulation of heat generation [GO:0031652],
1, positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure [GO:0001988],
1, positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process [GO:0045425],
1, positive regulation of granulocyte colony-stimulating factor production [GO:0071657],
1, positive regulation of glucose metabolic process [GO:0010907],
1, positive regulation of glomerular metanephric mesangial cell proliferation [GO:0072303],
1, positive regulation of glial cell-derived neurotrophic factor secretion [GO:1900168],
1, positive regulation of glial cell differentiation [GO:0045687],
1, positive regulation of gene silencing by miRNA [GO:2000637],
1, positive regulation of gamma-delta T cell differentiation [GO:0045588],
1, positive regulation of focal adhesion assembly [GO:0051894],
1, positive regulation of filopodium assembly [GO:0051491],
1, positive regulation of fibroblast migration [GO:0010763],
1, positive regulation of fibroblast apoptotic process [GO:2000271],
1, positive regulation of fatty acid biosynthetic process [GO:0045723],
1, positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043],
1, positive regulation of execution phase of apoptosis [GO:1900119],
1, positive regulation of excitatory postsynaptic potential [GO:2000463],
1, positive regulation of establishment of Sertoli cell barrier [GO:1904446],
1, positive regulation of erythrocyte differentiation [GO:0045648],
